MARK_OK,Moose ID,PT,Cause of Death,Brain Examined?,Spinal Cord Examined?,Death Details,Mode of death,Age at Capture,Age at Death,Days in Study,Dlab number,Capture date,Date of death,UTM X,UTM Y,time of death,date investigated,Sex,whole carcass or field necropsy?,Response Time,Samples Collected?,Predisposing Conditions,Category,
NO,106,Yes,Health related: Brainworm,Yes,No,"Moose investigated on 29-March and found alive, unable to move much, and grinding his teeth.  Returned on 30-March to euthanize.  P. tenuis confirmed  in cerebellum and in eye.",Euthanized,1,1,65,D13-013934,1/24/2013,3/30/2013,678001,5299936,12:10,3/29/2013,Male,field,immediate,full set; brain; serum,grinding teeth & tremors; P. Tenuis worm in brain and eye; marked liver fluke infection; depleted bone marrow fat; mild sarcocystosis in muscle,Parasites: Brainworm,
,19,Yes,Health related: Brainworm,Yes,Yes,"Found alive but unable to stand on back legs, dragged herself 120 yds.  P. tenius found in lumbar spinal cord and migration tracks in the brain.",Euthanized,4,5,340,D14-001112,2/1/2013,1/8/2014,575652,5301501,11:40,1/8/2014,Female,Whole,immediate,whole carcass; serum,Good nutritional condition. Few EG cyst in lungs. PT in spine and brain.,Parasites: Brainworm,
,31,Yes,Health related: Brainworm,Yes,No,"Moose found alive and unable to stand. Wound on back leg, fibroma on front leg; abscessed molar and loose teeth; multiple hydatid cysts on lungs and liver.",Euthanized,11,12,387,D14-007738,1/23/2013,2/14/2014,694706,5310585,14:07,2/14/2014,Female,field,29 hours,"Full set of samples, serum; field ","Rear leg wound that was infected with bacteria. EG in lungs sarcocysts in heart, PT in brain.",Parasites: Brainworm,
,53,Yes,"Predator related: Wolf kill (predisposed, brainworm)",Yes,No,Moose killed by wolves in a beaver pond. Migration tracts found in brain.,Found dead,10,12,469,D14-024883,2/5/2013,5/19/2014,631698,5281225,10:00,5/20/2014,Female,field,15 hours,head only; heavily scavenged.,migration tracts found in brain; PT probably. No other samples submitted due to carcass condition,Wolfkill-predisposed,
,13,Yes,"Predator related: Wolf kill (predisposed, brainworm)",Yes,No,"Carcass was mostly consumed and spread out, brain recovered but not much else.  No sign of calf.  Attack scene noted. P. tenuis infection confirmed from brain histology!",Found dead,5,7,552,D14-038440,1/29/2013,8/4/2014,660727,5298170,9:00,8/6/2014,Female,Field,36 hours,head only; heavily scavenged.,P. Tenuis migration tracts found in the brain sections,Wolfkill-predisposed,
,76,Yes,Health related: Brainworm (likely),Yes,Yes-Freeze/Thaw artifacts,"Hunters reported finding a collared moose unable to get up, assumed hind end injury to CO.  CO called MC, and went to scene with Dawn.  Cow was alert but unable to stand, she was euthanized; no visible injury to explain why she was a downer.",Euthanized,5,7,645,D14-053295,2/1/2013,11/8/2014,578944,5298755,21:30,11/8/2014,Female,whole carcass,immediate,"whole carcass, serum","Good nutritional condition. Moderate liver fluke infection.  EG cysts in lungs. Eosinophilic meningitis in trigeminal nerve, may indicated PT infection; no migration tracts found in brain and spinal cord unsuitable for examination.",Parasites: Brainworm,
,86,Yes,Health related: Brainworm,Yes,No,"Moose found dead and heavily scavenged by wolves, but no sign of take-down; may have just tipped over. Migration tracts found in brain.",Found Dead,12,15,803,D15-021206,2/7/2013,4/21/2015,602275,5256120,17:00,4/22/2015,Female,field,17 hours,"Head, eye, rumen, muscle",Brain showed severe lesions from P. T. migration that would have affected coordination,Parasites: Brainworm,
,92,Yes,"Health related: Infection; trauma, bacterial infection in joint and brain, P. Tenuis tracts",Yes,Yes,"Found dead by hikers on a trail, moose was MIA.  Carcass had lots of ticks, partially scavenged; very emaciated",Found Dead,1,4,829,D15-026550,2/4/2013,5/14/2015,624608,5292818,,5/16/2015,Female,whole carcass,<24 hours,"whole carcass, no serum","Emaciated. Bacterial infection caused lesion in brain, likely sourced from injury to fetlock joint.  PT migration tracts also found.",Infection,
,201,Yes,Health related: Brainworm,Yes,Yes,"Cow was found alive, unable to stand and head tilting.  Euthanized, field necropsy with Arno present.  PT worm found in obex.",Euthanized,6,7,275,D15-062824,2/18/2015,12/31/2015,594070,5239711,16:15,12/31/2015,Female,field,12 hours,,,Parasites: Brainworm,
,192,Yes,Predator related: Wolf kill (predisposed),Yes,Yes,"Cow was found floating dead in ditch water by Bailey.  Attacked by wolves while calving; also had bad ticks, horrible liver, and P. Tenuis tracts",Found dead,10,12,449,D16-020355,2/17/2015,5/11/2016,601833,5256927,4:30,5/11/2016,Female,whole carcass,8 hours,,,,
,158,Yes,Health related: Brainworm,Yes,Yes,"Bull was alive by unable to stand, weakness in the back end.  He was living small and sending lots of false morts for weeks.  Euthanized him and Anibal found the worm in the braincase at the dLab",Euthanized,3,6,1113,D17-007300,2/10/2014,2/27/2017,609475,5268802,13:24,2/27/2017,Male,whole carcass,immediate,,,,
